trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'e': 0.9210609940028851, 'a': 1}",30,0,-43.83849339190111,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
81,False,"{'e': 0.9191023971657747, 'a': 1}",30,0,-110.14026770406905,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
82,False,"{'e': 0.9171208228166051, 'a': 1}",20,0,-160.1670261607334,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
83,False,"{'e': 0.9151163204946318, 'a': 1}",30,0,-85.50205210361828,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
84,False,"{'e': 0.9130889403123083, 'a': 1}",20,0,-153.84266049819678,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
85,False,"{'e': 0.9110387329540337, 'a': 1}",20,0,-96.50367301746645,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
86,False,"{'e': 0.9089657496748851, 'a': 1}",20,0,-9.804868417348763,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
87,False,"{'e': 0.9068700422993367, 'a': 1}",25,0,-40.52785342138648,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
88,False,"{'e': 0.9047516632199634, 'a': 1}",25,0,-114.73377384522936,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
89,False,"{'e': 0.9026106653961321, 'a': 1}",25,0,-183.3208588155349,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
90,False,"{'e': 0.9004471023526769, 'a': 1}",20,0,-62.53433092917794,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
91,False,"{'e': 0.8982610281785611, 'a': 1}",20,0,-10.428657323545922,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'e': 0.8960524975255252, 'a': 1}",20,0,-59.01492324021491,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
93,False,"{'e': 0.8938215656067205, 'a': 1}",20,0,-30.452315092752652,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
94,False,"{'e': 0.891568288195329, 'a': 1}",25,0,-49.35926602103661,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
95,False,"{'e': 0.8892927216231682, 'a': 1}",25,0,-67.55449814193761,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
96,False,"{'e': 0.8869949227792842, 'a': 1}",30,0,-90.30239060421987,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
97,False,"{'e': 0.8846749491085283, 'a': 1}",20,0,-105.38500220260732,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
98,False,"{'e': 0.8823328586101215, 'a': 1}",20,0,-130.2567357604536,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
99,False,"{'e': 0.8799687098362042, 'a': 1}",20,0,-98.80186132843794,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
100,False,"{'e': 0.8775825618903728, 'a': 1}",25,0,-90.64881947809101,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
101,False,"{'e': 0.8751744744262013, 'a': 1}",20,0,-13.676907726777618,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
102,False,"{'e': 0.8727445076457513, 'a': 1}",20,0,-130.82067306343401,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
103,False,"{'e': 0.8702927222980654, 'a': 1}",30,0,-316.9477769634974,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 6}",0
104,False,"{'e': 0.8678191796776499, 'a': 1}",25,0,-39.69745344276454,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
105,False,"{'e': 0.8653239416229412, 'a': 1}",35,0,-128.25305063509813,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 2}",0
106,False,"{'e': 0.862807070514761, 'a': 1}",20,0,-70.6042870719819,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
107,False,"{'e': 0.8602686292747557, 'a': 1}",25,0,-102.08377957272323,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
108,False,"{'e': 0.8577086813638242, 'a': 1}",25,0,-13.18745445311576,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
109,False,"{'e': 0.8551272907805307, 'a': 1}",20,0,-114.63815794018657,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
110,False,"{'e': 0.8525245220595057, 'a': 1}",20,0,-49.56713328029723,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
111,False,"{'e': 0.8499004402698315, 'a': 1}",25,0,-96.66963470077216,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
112,False,"{'e': 0.8472551110134161, 'a': 1}",35,0,5.447052146592127,"{0: 29, 1: 5, 2: 1, 3: 0, 4: 0}",0
113,False,"{'e': 0.8445886004233532, 'a': 1}",25,0,-167.25562724447525,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
114,False,"{'e': 0.8419009751622687, 'a': 1}",20,0,-60.942416331809135,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
115,False,"{'e': 0.8391923024206541, 'a': 1}",20,10,-33.97760083774095,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
116,False,"{'e': 0.8364626499151869, 'a': 1}",25,11,-46.007305772444184,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
117,False,"{'e': 0.8337120858870376, 'a': 1}",30,0,-178.4044237994975,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
118,False,"{'e': 0.8309406791001636, 'a': 1}",25,0,-151.09371917625108,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
119,False,"{'e': 0.8281484988395901, 'a': 1}",20,0,-114.21895851524172,"{0: 11, 1: 0, 2: 5, 3: 4, 4: 0}",0
120,False,"{'e': 0.8253356149096783, 'a': 1}",25,0,-131.61664077463374,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
121,False,"{'e': 0.82250209763238, 'a': 1}",25,0,-94.9172808638145,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
122,False,"{'e': 0.8196480178454795, 'a': 1}",25,0,-97.7334099464467,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
123,False,"{'e': 0.8167734469008229, 'a': 1}",25,0,-35.53489509516312,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
124,False,"{'e': 0.8138784566625339, 'a': 1}",20,0,-130.94660718552814,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
125,False,"{'e': 0.8109631195052179, 'a': 1}",25,0,-63.70982335452996,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
126,False,"{'e': 0.8080275083121519, 'a': 1}",20,9,-22.783767374005425,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
127,False,"{'e': 0.8050716964734628, 'a': 1}",30,0,-78.42003658961904,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
128,False,"{'e': 0.8020957578842927, 'a': 1}",20,0,-24.52470173767127,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
129,False,"{'e': 0.7990997669429512, 'a': 1}",20,0,-149.89535681945512,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
130,False,"{'e': 0.7960837985490558, 'a': 1}",20,0,-43.4613695780913,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
131,False,"{'e': 0.7930479281016595, 'a': 1}",20,0,-79.67112976674154,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
132,False,"{'e': 0.7899922314973651, 'a': 1}",20,0,-143.96354384597706,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
133,False,"{'e': 0.7869167851284287, 'a': 1}",20,0,-74.33755111619588,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
134,False,"{'e': 0.7838216658808492, 'a': 1}",20,0,-112.10733585298854,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,False,"{'e': 0.7807069511324468, 'a': 1}",20,0,-124.92477301405778,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
136,False,"{'e': 0.7775727187509279, 'a': 1}",30,0,-117.82818062948883,"{0: 19, 1: 5, 2: 2, 3: 3, 4: 1}",0
137,False,"{'e': 0.7744190470919388, 'a': 1}",20,0,-25.630879510700158,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
138,False,"{'e': 0.7712460149971065, 'a': 1}",30,0,-211.6970452088369,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
139,False,"{'e': 0.7680537017920684, 'a': 1}",25,4,-80.00851958025306,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 0}",1
140,False,"{'e': 0.7648421872844884, 'a': 1}",25,5,-127.79725215063826,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
141,False,"{'e': 0.7616115517620617, 'a': 1}",20,0,-132.89975823925963,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
142,False,"{'e': 0.7583618759905082, 'a': 1}",20,0,-1.6348930025070458,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
143,False,"{'e': 0.7550932412115529, 'a': 1}",25,0,-170.4451678253707,"{0: 14, 1: 6, 2: 1, 3: 1, 4: 3}",0
144,False,"{'e': 0.7518057291408949, 'a': 1}",20,0,-91.2964607902456,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
145,False,"{'e': 0.7484994219661651, 'a': 1}",25,0,-78.4138574197924,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
146,False,"{'e': 0.7451744023448704, 'a': 1}",25,0,-15.321385466480645,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
147,False,"{'e': 0.7418307534023282, 'a': 1}",25,0,-63.93206022774677,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
148,False,"{'e': 0.7384685587295879, 'a': 1}",20,0,-76.59972906537311,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
149,False,"{'e': 0.7350879023813413, 'a': 1}",25,18,12.464193510021431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.7316888688738209, 'a': 1}",20,0,-76.21416126040559,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'e': 0.7282715431826874, 'a': 1}",20,0,-10.500390332842333,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
152,False,"{'e': 0.7248360107409052, 'a': 1}",20,0,-62.894114667192305,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
